station_id,datetime,date,year,month,day,hour,T0_p1
1,30Jun2008:7:00:00,30Jun2008,2008,6,30,7,75
1,30Jun2008:8:00:00,30Jun2008,2008,6,30,8,76
1,30Jun2008:9:00:00,30Jun2008,2008,6,30,9,78
1,30Jun2008:10:00:00,30Jun2008,2008,6,30,10,79
1,30Jun2008:11:00:00,30Jun2008,2008,6,30,11,80
1,30Jun2008:12:00:00,30Jun2008,2008,6,30,12,83
1,30Jun2008:13:00:00,30Jun2008,2008,6,30,13,84
1,30Jun2008:14:00:00,30Jun2008,2008,6,30,14,86
1,30Jun2008:15:00:00,30Jun2008,2008,6,30,15,88
1,30Jun2008:16:00:00,30Jun2008,2008,6,30,16,89
1,30Jun2008:17:00:00,30Jun2008,2008,6,30,17,90
1,30Jun2008:18:00:00,30Jun2008,2008,6,30,18,85
1,30Jun2008:19:00:00,30Jun2008,2008,6,30,19,85
1,30Jun2008:20:00:00,30Jun2008,2008,6,30,20,82
1,30Jun2008:21:00:00,30Jun2008,2008,6,30,21,80
1,30Jun2008:22:00:00,30Jun2008,2008,6,30,22,78
1,30Jun2008:23:00:00,30Jun2008,2008,6,30,23,74
1,01Jul2008:0:00:00,30Jun2008,2008,6,30,24,74
1,01Jul2008:1:00:00,01Jul2008,2008,7,1,1,74
1,01Jul2008:2:00:00,01Jul2008,2008,7,1,2,74
1,01Jul2008:3:00:00,01Jul2008,2008,7,1,3,73
1,01Jul2008:4:00:00,01Jul2008,2008,7,1,4,72
1,01Jul2008:5:00:00,01Jul2008,2008,7,1,5,72
1,01Jul2008:6:00:00,01Jul2008,2008,7,1,6,72
1,01Jul2008:7:00:00,01Jul2008,2008,7,1,7,73
1,01Jul2008:8:00:00,01Jul2008,2008,7,1,8,78
1,01Jul2008:9:00:00,01Jul2008,2008,7,1,9,78
1,01Jul2008:10:00:00,01Jul2008,2008,7,1,10,80
1,01Jul2008:11:00:00,01Jul2008,2008,7,1,11,81
1,01Jul2008:12:00:00,01Jul2008,2008,7,1,12,81
1,01Jul2008:13:00:00,01Jul2008,2008,7,1,13,81
1,01Jul2008:14:00:00,01Jul2008,2008,7,1,14,81
1,01Jul2008:15:00:00,01Jul2008,2008,7,1,15,82
1,01Jul2008:16:00:00,01Jul2008,2008,7,1,16,81
1,01Jul2008:17:00:00,01Jul2008,2008,7,1,17,81
1,01Jul2008:18:00:00,01Jul2008,2008,7,1,18,81
1,01Jul2008:19:00:00,01Jul2008,2008,7,1,19,80
1,01Jul2008:20:00:00,01Jul2008,2008,7,1,20,78
1,01Jul2008:21:00:00,01Jul2008,2008,7,1,21,74
1,01Jul2008:22:00:00,01Jul2008,2008,7,1,22,75
1,01Jul2008:23:00:00,01Jul2008,2008,7,1,23,71
1,02Jul2008:0:00:00,01Jul2008,2008,7,1,24,71
1,02Jul2008:1:00:00,02Jul2008,2008,7,2,1,71
1,02Jul2008:2:00:00,02Jul2008,2008,7,2,2,69
1,02Jul2008:3:00:00,02Jul2008,2008,7,2,3,68
1,02Jul2008:4:00:00,02Jul2008,2008,7,2,4,67
1,02Jul2008:5:00:00,02Jul2008,2008,7,2,5,67
1,02Jul2008:6:00:00,02Jul2008,2008,7,2,6,66
1,02Jul2008:7:00:00,02Jul2008,2008,7,2,7,70
1,02Jul2008:8:00:00,02Jul2008,2008,7,2,8,75
1,02Jul2008:9:00:00,02Jul2008,2008,7,2,9,78
1,02Jul2008:10:00:00,02Jul2008,2008,7,2,10,80
1,02Jul2008:11:00:00,02Jul2008,2008,7,2,11,81
1,02Jul2008:12:00:00,02Jul2008,2008,7,2,12,82
1,02Jul2008:13:00:00,02Jul2008,2008,7,2,13,83
1,02Jul2008:14:00:00,02Jul2008,2008,7,2,14,84
1,02Jul2008:15:00:00,02Jul2008,2008,7,2,15,84
1,02Jul2008:16:00:00,02Jul2008,2008,7,2,16,86
1,02Jul2008:17:00:00,02Jul2008,2008,7,2,17,85
