id,zone,year,month,day,totDay,hour,weekday,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,load
0,1,2005,3,6,430,0,0,34,30,29,31,29,31,31,30,29,31,29,19964
0,1,2005,3,6,430,1,0,34,31,28,32,29,32,30,30,29,32,30,19544
0,1,2005,3,6,430,2,0,31,31,28,30,29,32,29,31,28,31,31,19390
0,1,2005,3,6,430,3,0,34,34,30,30,29,33,28,30,28,33,29,19442
0,1,2005,3,6,430,4,0,34,31,29,27,29,32,26,29,28,31,30,19755
0,1,2005,3,6,430,5,0,34,33,28,27,30,32,26,29,27,31,36,20008
0,1,2005,3,6,430,6,0,34,36,27,27,29,32,26,28,28,31,34,20768
0,1,2005,3,6,430,7,0,28,34,29,27,28,32,26,28,28,30,31,22784
0,1,2005,3,6,430,8,0,35,37,33,33,33,36,31,34,32,35,36,22850
0,1,2005,3,6,430,9,0,39,40,38,38,38,42,39,41,38,42,38,20927
0,1,2005,3,6,430,10,0,43,42,44,45,42,46,45,46,45,46,40,19005
0,1,2005,3,6,430,11,0,46,44,46,48,45,49,48,50,46,50,43,17060
0,1,2005,3,6,430,12,0,47,47,46,52,47,52,51,53,50,52,46,16065
0,1,2005,3,6,430,13,0,49,49,48,54,49,54,53,55,52,55,50,15334
0,1,2005,3,6,430,14,0,51,52,50,56,49,56,55,59,54,57,52,14535
0,1,2005,3,6,430,15,0,53,55,51,58,50,59,57,61,57,59,53,13955
0,1,2005,3,6,430,16,0,55,56,52,59,51,60,57,60,58,60,55,13712
0,1,2005,3,6,430,17,0,55,56,53,59,51,59,58,60,58,60,54,14372
0,1,2005,3,6,430,18,0,53,55,52,57,50,57,56,57,58,57,53,16392
0,1,2005,3,6,430,19,0,52,54,50,54,47,54,54,55,54,55,52,18253
0,1,2005,3,6,430,20,0,51,52,48,53,47,54,52,53,51,54,47,18355
0,1,2005,3,6,430,21,0,52,48,50,52,46,51,51,53,49,52,47,17157
0,1,2005,3,6,430,22,0,51,49,46,52,46,51,49,51,47,52,49,16089
0,1,2005,3,6,430,23,0,47,47,46,51,44,48,47,51,45,51,47,15146
1,2,2005,3,6,430,0,0,34,30,29,31,29,31,31,30,29,31,29,162096
1,2,2005,3,6,430,1,0,34,31,28,32,29,32,30,30,29,32,30,160890
1,2,2005,3,6,430,2,0,31,31,28,30,29,32,29,31,28,31,31,160924
1,2,2005,3,6,430,3,0,34,34,30,30,29,33,28,30,28,33,29,158962
1,2,2005,3,6,430,4,0,34,31,29,27,29,32,26,29,28,31,30,163197
1,2,2005,3,6,430,5,0,34,33,28,27,30,32,26,29,27,31,36,165197
1,2,2005,3,6,430,6,0,34,36,27,27,29,32,26,28,28,31,34,171989
1,2,2005,3,6,430,7,0,28,34,29,27,28,32,26,28,28,30,31,179586
1,2,2005,3,6,430,8,0,35,37,33,33,33,36,31,34,32,35,36,183793
1,2,2005,3,6,430,9,0,39,40,38,38,38,42,39,41,38,42,38,184259
1,2,2005,3,6,430,10,0,43,42,44,45,42,46,45,46,45,46,40,177069
1,2,2005,3,6,430,11,0,46,44,46,48,45,49,48,50,46,50,43,169932
1,2,2005,3,6,430,12,0,47,47,46,52,47,52,51,53,50,52,46,162912
1,2,2005,3,6,430,13,0,49,49,48,54,49,54,53,55,52,55,50,155127
1,2,2005,3,6,430,14,0,51,52,50,56,49,56,55,59,54,57,52,151681
1,2,2005,3,6,430,15,0,53,55,51,58,50,59,57,61,57,59,53,148210
1,2,2005,3,6,430,16,0,55,56,52,59,51,60,57,60,58,60,55,149373
1,2,2005,3,6,430,17,0,55,56,53,59,51,59,58,60,58,60,54,153728
1,2,2005,3,6,430,18,0,53,55,52,57,50,57,56,57,58,57,53,171318
1,2,2005,3,6,430,19,0,52,54,50,54,47,54,54,55,54,55,52,175893
1,2,2005,3,6,430,20,0,51,52,48,53,47,54,52,53,51,54,47,175858
1,2,2005,3,6,430,21,0,52,48,50,52,46,51,51,53,49,52,47,166342
1,2,2005,3,6,430,22,0,51,49,46,52,46,51,49,51,47,52,49,155411
1,2,2005,3,6,430,23,0,47,47,46,51,44,48,47,51,45,51,47,145988
2,3,2005,3,6,430,0,0,34,30,29,31,29,31,31,30,29,31,29,174901
2,3,2005,3,6,430,1,0,34,31,28,32,29,32,30,30,29,32,30,173600
2,3,2005,3,6,430,2,0,31,31,28,30,29,32,29,31,28,31,31,173637
2,3,2005,3,6,430,3,0,34,34,30,30,29,33,28,30,28,33,29,171521
2,3,2005,3,6,430,4,0,34,31,29,27,29,32,26,29,28,31,30,176090
2,3,2005,3,6,430,5,0,34,33,28,27,30,32,26,29,27,31,36,178248
2,3,2005,3,6,430,6,0,34,36,27,27,29,32,26,28,28,31,34,185577
2,3,2005,3,6,430,7,0,28,34,29,27,28,32,26,28,28,30,31,193773
2,3,2005,3,6,430,8,0,35,37,33,33,33,36,31,34,32,35,36,198312
2,3,2005,3,6,430,9,0,39,40,38,38,38,42,39,41,38,42,38,198815
2,3,2005,3,6,430,10,0,43,42,44,45,42,46,45,46,45,46,40,191058
2,3,2005,3,6,430,11,0,46,44,46,48,45,49,48,50,46,50,43,183358
2,3,2005,3,6,430,12,0,47,47,46,52,47,52,51,53,50,52,46,175783
2,3,2005,3,6,430,13,0,49,49,48,54,49,54,53,55,52,55,50,167383
2,3,2005,3,6,430,14,0,51,52,50,56,49,56,55,59,54,57,52,163665
2,3,2005,3,6,430,15,0,53,55,51,58,50,59,57,61,57,59,53,159918
2,3,2005,3,6,430,16,0,55,56,52,59,51,60,57,60,58,60,55,161173
2,3,2005,3,6,430,17,0,55,56,53,59,51,59,58,60,58,60,54,165872
2,3,2005,3,6,430,18,0,53,55,52,57,50,57,56,57,58,57,53,184853
2,3,2005,3,6,430,19,0,52,54,50,54,47,54,54,55,54,55,52,189788
2,3,2005,3,6,430,20,0,51,52,48,53,47,54,52,53,51,54,47,189752
2,3,2005,3,6,430,21,0,52,48,50,52,46,51,51,53,49,52,47,179483
2,3,2005,3,6,430,22,0,51,49,46,52,46,51,49,51,47,52,49,167689
2,3,2005,3,6,430,23,0,47,47,46,51,44,48,47,51,45,51,47,157521
3,4,2005,3,6,430,0,0,34,30,29,31,29,31,31,30,29,31,29,528
3,4,2005,3,6,430,1,0,34,31,28,32,29,32,30,30,29,32,30,499
3,4,2005,3,6,430,2,0,31,31,28,30,29,32,29,31,28,31,31,469
3,4,2005,3,6,430,3,0,34,34,30,30,29,33,28,30,28,33,29,486
3,4,2005,3,6,430,4,0,34,31,29,27,29,32,26,29,28,31,30,497
3,4,2005,3,6,430,5,0,34,33,28,27,30,32,26,29,27,31,36,524
3,4,2005,3,6,430,6,0,34,36,27,27,29,32,26,28,28,31,34,555
3,4,2005,3,6,430,7,0,28,34,29,27,28,32,26,28,28,30,31,630
3,4,2005,3,6,430,8,0,35,37,33,33,33,36,31,34,32,35,36,649
3,4,2005,3,6,430,9,0,39,40,38,38,38,42,39,41,38,42,38,640
3,4,2005,3,6,430,10,0,43,42,44,45,42,46,45,46,45,46,40,583
3,4,2005,3,6,430,11,0,46,44,46,48,45,49,48,50,46,50,43,565
3,4,2005,3,6,430,12,0,47,47,46,52,47,52,51,53,50,52,46,533
3,4,2005,3,6,430,13,0,49,49,48,54,49,54,53,55,52,55,50,515
3,4,2005,3,6,430,14,0,51,52,50,56,49,56,55,59,54,57,52,470
3,4,2005,3,6,430,15,0,53,55,51,58,50,59,57,61,57,59,53,450
3,4,2005,3,6,430,16,0,55,56,52,59,51,60,57,60,58,60,55,446
3,4,2005,3,6,430,17,0,55,56,53,59,51,59,58,60,58,60,54,459
3,4,2005,3,6,430,18,0,53,55,52,57,50,57,56,57,58,57,53,547
3,4,2005,3,6,430,19,0,52,54,50,54,47,54,54,55,54,55,52,584
3,4,2005,3,6,430,20,0,51,52,48,53,47,54,52,53,51,54,47,557
3,4,2005,3,6,430,21,0,52,48,50,52,46,51,51,53,49,52,47,564
3,4,2005,3,6,430,22,0,51,49,46,52,46,51,49,51,47,52,49,485
3,4,2005,3,6,430,23,0,47,47,46,51,44,48,47,51,45,51,47,470
4,5,2005,3,6,430,0,0,34,30,29,31,29,31,31,30,29,31,29,9061
4,5,2005,3,6,430,1,0,34,31,28,32,29,32,30,30,29,32,30,8697
4,5,2005,3,6,430,2,0,31,31,28,30,29,32,29,31,28,31,31,8595
4,5,2005,3,6,430,3,0,34,34,30,30,29,33,28,30,28,33,29,8669
4,5,2005,3,6,430,4,0,34,31,29,27,29,32,26,29,28,31,30,8941
4,5,2005,3,6,430,5,0,34,33,28,27,30,32,26,29,27,31,36,9360
4,5,2005,3,6,430,6,0,34,36,27,27,29,32,26,28,28,31,34,10058
4,5,2005,3,6,430,7,0,28,34,29,27,28,32,26,28,28,30,31,11353
4,5,2005,3,6,430,8,0,35,37,33,33,33,36,31,34,32,35,36,11357
4,5,2005,3,6,430,9,0,39,40,38,38,38,42,39,41,38,42,38,10743
4,5,2005,3,6,430,10,0,43,42,44,45,42,46,45,46,45,46,40,9518
4,5,2005,3,6,430,11,0,46,44,46,48,45,49,48,50,46,50,43,8708
4,5,2005,3,6,430,12,0,47,47,46,52,47,52,51,53,50,52,46,7979
4,5,2005,3,6,430,13,0,49,49,48,54,49,54,53,55,52,55,50,7666
4,5,2005,3,6,430,14,0,51,52,50,56,49,56,55,59,54,57,52,7139
4,5,2005,3,6,430,15,0,53,55,51,58,50,59,57,61,57,59,53,6799
