,zone,year,month,day,hour,actual,predicted_NN
0,2,2005,3,6,0,162096,169619.78125
1,2,2005,3,6,1,160890,166870.953125
2,2,2005,3,6,2,160924,131415.984375
3,2,2005,3,6,3,158962,125379.2265625
4,2,2005,3,6,4,163197,136645.640625
5,2,2005,3,6,5,165197,131065.59375
6,2,2005,3,6,6,171989,138137.265625
7,2,2005,3,6,7,179586,155847.640625
8,2,2005,3,6,8,183793,195928.484375
9,2,2005,3,6,9,184259,172866.046875
10,2,2005,3,6,10,177069,160267.421875
11,2,2005,3,6,11,169932,158572.71875
12,2,2005,3,6,12,162912,149704.734375
13,2,2005,3,6,13,155127,148410.46875
14,2,2005,3,6,14,151681,146933.40625
15,2,2005,3,6,15,148210,145867.1875
16,2,2005,3,6,16,149373,129342.5234375
17,2,2005,3,6,17,153728,136549.625
18,2,2005,3,6,18,171318,142026.15625
19,2,2005,3,6,19,175893,145811.4375
20,2,2005,3,6,20,175858,144064.96875
21,2,2005,3,6,21,166342,141333.125
22,2,2005,3,6,22,155411,134285.640625
23,2,2005,3,6,23,145988,126558.8203125
24,2,2005,3,7,0,140479,126044.6796875
25,2,2005,3,7,1,141926,93631.2421875
26,2,2005,3,7,2,140370,94454.359375
27,2,2005,3,7,3,143290,97163.59375
28,2,2005,3,7,4,152678,104888.7890625
29,2,2005,3,7,5,166623,141365.203125
30,2,2005,3,7,6,189525,163823.3125
31,2,2005,3,7,7,195255,193431.46875
32,2,2005,3,7,8,190201,164565.171875
33,2,2005,3,7,9,186262,173550.203125
34,2,2005,3,7,10,179014,168253.4375
35,2,2005,3,7,11,172800,156788.15625
36,2,2005,3,7,12,170658,152821.25
37,2,2005,3,7,13,165345,151029.375
38,2,2005,3,7,14,162290,152716.828125
39,2,2005,3,7,15,158610,151045.140625
40,2,2005,3,7,16,163421,149743.390625
41,2,2005,3,7,17,164122,153691.90625
42,2,2005,3,7,18,181297,167969.171875
43,2,2005,3,7,19,180813,171362.96875
44,2,2005,3,7,20,176186,167206.0625
45,2,2005,3,7,21,167903,154217.171875
46,2,2005,3,7,22,153027,140911.125
47,2,2005,3,7,23,142512,131981.984375
48,2,2005,3,8,0,135538,125587.2734375
49,2,2005,3,8,1,133792,122471.9765625
50,2,2005,3,8,2,131394,148747.625
51,2,2005,3,8,3,132918,94927.2890625
52,2,2005,3,8,4,138726,99642.0625
53,2,2005,3,8,5,153550,139619.015625
54,2,2005,3,8,6,179400,166145.578125
55,2,2005,3,8,7,195541,156275.390625
56,2,2005,3,8,8,196834,160571.671875
57,2,2005,3,8,9,208129,173568.203125
58,2,2005,3,8,10,213158,172975.625
59,2,2005,3,8,11,216546,164490.75
60,2,2005,3,8,12,211238,191559.125
61,2,2005,3,8,13,206748,188675.671875
62,2,2005,3,8,14,203465,198519.8125
63,2,2005,3,8,15,204077,194779.109375
64,2,2005,3,8,16,209705,195651.8125
65,2,2005,3,8,17,226732,205932.6875
66,2,2005,3,8,18,245225,219610.4375
67,2,2005,3,8,19,246117,221067.859375
68,2,2005,3,8,20,242921,218317.921875
69,2,2005,3,8,21,235943,209208.9375
70,2,2005,3,8,22,223906,198882.859375
71,2,2005,3,8,23,210154,188492.453125
72,2,2005,3,9,0,207779,185690.171875
73,2,2005,3,9,1,205088,182635.171875
74,2,2005,3,9,2,205552,185788.453125
75,2,2005,3,9,3,204214,187689.78125
76,2,2005,3,9,4,212362,196102.25
77,2,2005,3,9,5,225704,209564.84375
78,2,2005,3,9,6,244690,228756.15625
79,2,2005,3,9,7,247496,232463.375
80,2,2005,3,9,8,237059,214770.9375
81,2,2005,3,9,9,226752,221593.0625
82,2,2005,3,9,10,220841,201128.96875
83,2,2005,3,9,11,215686,197840.671875
84,2,2005,3,9,12,211450,180512.75
85,2,2005,3,9,13,203868,186972.546875
86,2,2005,3,9,14,196626,181311.53125
87,2,2005,3,9,15,194210,179795.75
88,2,2005,3,9,16,197564,181524.015625
89,2,2005,3,9,17,206141,193118.078125
90,2,2005,3,9,18,226784,208090.03125
91,2,2005,3,9,19,230192,211579.796875
92,2,2005,3,9,20,229298,207834.5
93,2,2005,3,9,21,221670,201369.4375
94,2,2005,3,9,22,207311,189783.15625
95,2,2005,3,9,23,194312,188475.484375
96,2,2005,3,10,0,193501,185707.890625
97,2,2005,3,10,1,194199,182689.359375
98,2,2005,3,10,2,193905,185844.5625
99,2,2005,3,10,3,195565,187756.84375
100,2,2005,3,10,4,202642,196175.578125
101,2,2005,3,10,5,214839,209644.125
102,2,2005,3,10,6,235854,228820.453125
103,2,2005,3,10,7,240555,232545.171875
104,2,2005,3,10,8,221702,218137.828125
105,2,2005,3,10,9,215555,187655.046875
106,2,2005,3,10,10,208652,196143.171875
107,2,2005,3,10,11,202160,183068.234375
108,2,2005,3,10,12,193650,175619.25
109,2,2005,3,10,13,188209,170458.265625
110,2,2005,3,10,14,182868,165341.125
111,2,2005,3,10,15,181001,159503.265625
112,2,2005,3,10,16,182936,173680.40625
113,2,2005,3,10,17,194369,181927.984375
114,2,2005,3,10,18,209614,177739.5625
115,2,2005,3,10,19,211274,211521.203125
116,2,2005,3,10,20,206966,210914.328125
117,2,2005,3,10,21,199861,205446.984375
118,2,2005,3,10,22,190489,187082.203125
119,2,2005,3,10,23,173282,135433.625
120,2,2005,3,11,0,171092,152755.234375
121,2,2005,3,11,1,168025,139776.171875
122,2,2005,3,11,2,168914,140366.3125
123,2,2005,3,11,3,170982,142642.4375
124,2,2005,3,11,4,177773,146996.296875
125,2,2005,3,11,5,192253,159247.890625
126,2,2005,3,11,6,213745,177368.03125
127,2,2005,3,11,7,218898,204180.78125
128,2,2005,3,11,8,204264,191715.0
129,2,2005,3,11,9,195230,153269.359375
130,2,2005,3,11,10,189387,177430.046875
131,2,2005,3,11,11,187747,174134.984375
132,2,2005,3,11,12,185974,171323.015625
133,2,2005,3,11,13,182993,167172.75
134,2,2005,3,11,14,173719,161726.53125
135,2,2005,3,11,15,174654,154779.734375
136,2,2005,3,11,16,176724,162026.515625
137,2,2005,3,11,17,183857,181482.984375
138,2,2005,3,11,18,191436,195896.390625
139,2,2005,3,11,19,191812,195283.40625
140,2,2005,3,11,20,190544,190042.46875
141,2,2005,3,11,21,184409,152247.09375
142,2,2005,3,11,22,180333,162395.75
143,2,2005,3,11,23,169393,162130.90625
144,2,2005,3,12,0,164349,142535.640625
145,2,2005,3,12,1,162970,138990.65625
146,2,2005,3,12,2,161470,138945.703125
147,2,2005,3,12,3,162706,149451.53125
148,2,2005,3,12,4,167747,142675.84375
149,2,2005,3,12,5,175752,146355.15625
150,2,2005,3,12,6,188055,168946.5
151,2,2005,3,12,7,198860,177752.671875
152,2,2005,3,12,8,200021,195894.59375
153,2,2005,3,12,9,199438,195164.1875
154,2,2005,3,12,10,192188,181725.921875
155,2,2005,3,12,11,182333,169517.265625
156,2,2005,3,12,12,177578,138554.109375
157,2,2005,3,12,13,173220,150850.21875
158,2,2005,3,12,14,167563,144189.734375
159,2,2005,3,12,15,165420,163662.53125
160,2,2005,3,12,16,167532,164915.84375
161,2,2005,3,12,17,173338,151250.890625
162,2,2005,3,12,18,183613,157592.203125
163,2,2005,3,12,19,183151,159004.265625
164,2,2005,3,12,20,180487,164624.359375
165,2,2005,3,12,21,177789,163497.328125
166,2,2005,3,12,22,170250,161084.03125
167,2,2005,3,12,23,157346,152980.78125
168,2,2005,6,20,0,126098,131100.265625
169,2,2005,6,20,1,119683,124600.2265625
170,2,2005,6,20,2,116959,121795.03125
171,2,2005,6,20,3,116608,113017.2890625
172,2,2005,6,20,4,118767,116946.8203125
173,2,2005,6,20,5,126955,126420.1171875
174,2,2005,6,20,6,138762,144888.53125
175,2,2005,6,20,7,152282,153640.328125
176,2,2005,6,20,8,157418,152017.15625
177,2,2005,6,20,9,163721,147369.53125
178,2,2005,6,20,10,168208,157464.390625
179,2,2005,6,20,11,171854,162576.5
180,2,2005,6,20,12,172504,167105.0625
181,2,2005,6,20,13,173786,156847.59375
182,2,2005,6,20,14,173401,163886.625
183,2,2005,6,20,15,174291,165428.421875
184,2,2005,6,20,16,175605,162077.703125
185,2,2005,6,20,17,177221,165955.28125
186,2,2005,6,20,18,174704,173264.265625
187,2,2005,6,20,19,171013,169698.1875
188,2,2005,6,20,20,170690,166817.78125
189,2,2005,6,20,21,169694,153188.59375
190,2,2005,6,20,22,155004,138134.734375
191,2,2005,6,20,23,138841,128106.5546875
192,2,2005,6,21,0,128188,118985.8515625
193,2,2005,6,21,1,123166,113712.421875
194,2,2005,6,21,2,119378,110807.6953125
195,2,2005,6,21,3,119690,109904.6171875
196,2,2005,6,21,4,121577,113898.7421875
197,2,2005,6,21,5,129341,124495.359375
198,2,2005,6,21,6,140946,141758.5625
199,2,2005,6,21,7,153689,153611.75
200,2,2005,6,21,8,160566,154309.53125
201,2,2005,6,21,9,167438,155169.65625
202,2,2005,6,21,10,173400,182281.046875
203,2,2005,6,21,11,179592,188101.6875
204,2,2005,6,21,12,183673,193733.625
205,2,2005,6,21,13,189927,174219.109375
206,2,2005,6,21,14,193328,175508.21875
207,2,2005,6,21,15,197941,186876.984375
208,2,2005,6,21,16,201503,189730.390625
209,2,2005,6,21,17,203606,182606.4375
210,2,2005,6,21,18,203266,182584.5625
211,2,2005,6,21,19,197993,170646.5
212,2,2005,6,21,20,194737,173083.46875
213,2,2005,6,21,21,193093,176703.984375
214,2,2005,6,21,22,176360,174110.640625
215,2,2005,6,21,23,156131,154689.921875
216,2,2005,6,22,0,144340,131129.328125
217,2,2005,6,22,1,136204,109892.6328125
218,2,2005,6,22,2,130723,118302.5
219,2,2005,6,22,3,130346,121340.765625
220,2,2005,6,22,4,132857,121686.1015625
221,2,2005,6,22,5,141132,141547.078125
222,2,2005,6,22,6,150477,135187.171875
223,2,2005,6,22,7,162178,157629.453125
224,2,2005,6,22,8,168764,160443.140625
225,2,2005,6,22,9,170576,172482.53125
226,2,2005,6,22,10,173651,188926.765625
227,2,2005,6,22,11,173776,157570.65625
228,2,2005,6,22,12,179077,158465.28125
229,2,2005,6,22,13,186002,161312.640625
230,2,2005,6,22,14,191678,193244.15625
231,2,2005,6,22,15,198754,164252.46875
232,2,2005,6,22,16,204178,203692.671875
233,2,2005,6,22,17,203118,185997.640625
234,2,2005,6,22,18,191095,182609.375
235,2,2005,6,22,19,184400,170709.15625
236,2,2005,6,22,20,182187,183033.578125
237,2,2005,6,22,21,181888,176683.078125
238,2,2005,6,22,22,168110,157680.0625
239,2,2005,6,22,23,152679,139113.671875
240,2,2005,6,23,0,141264,127951.703125
241,2,2005,6,23,1,132316,124813.78125
242,2,2005,6,23,2,127369,118286.1953125
243,2,2005,6,23,3,127816,117103.9140625
244,2,2005,6,23,4,127343,118440.21875
245,2,2005,6,23,5,134261,125168.9765625
246,2,2005,6,23,6,145155,122457.015625
247,2,2005,6,23,7,157243,146886.71875
248,2,2005,6,23,8,163350,155097.375
249,2,2005,6,23,9,169708,151375.65625
250,2,2005,6,23,10,178522,151596.984375
251,2,2005,6,23,11,183529,152349.59375
252,2,2005,6,23,12,187525,183759.09375
253,2,2005,6,23,13,194122,190502.34375
254,2,2005,6,23,14,200040,180259.234375
255,2,2005,6,23,15,205058,164268.59375
256,2,2005,6,23,16,207642,206647.015625
