,zone,year,month,day,hour,actual,predicted_NN
0,1,2005,3,6,0,19964,22113.111328125
1,1,2005,3,6,1,19544,22135.279296875
2,1,2005,3,6,2,19390,15641.625
3,1,2005,3,6,3,19442,15810.90625
4,1,2005,3,6,4,19755,17549.384765625
5,1,2005,3,6,5,20008,16624.8125
6,1,2005,3,6,6,20768,17989.12890625
7,1,2005,3,6,7,22784,22027.80859375
8,1,2005,3,6,8,22850,27093.265625
9,1,2005,3,6,9,20927,21470.986328125
10,1,2005,3,6,10,19005,19210.3359375
11,1,2005,3,6,11,17060,19464.642578125
12,1,2005,3,6,12,16065,17020.177734375
13,1,2005,3,6,13,15334,16165.9228515625
14,1,2005,3,6,14,14535,15271.3095703125
15,1,2005,3,6,15,13955,14919.08984375
16,1,2005,3,6,16,13712,13658.833984375
17,1,2005,3,6,17,14372,14600.927734375
18,1,2005,3,6,18,16392,16213.134765625
19,1,2005,3,6,19,18253,17374.857421875
20,1,2005,3,6,20,18355,17796.712890625
21,1,2005,3,6,21,17157,17374.556640625
22,1,2005,3,6,22,16089,16168.2158203125
23,1,2005,3,6,23,15146,15880.451171875
24,1,2005,3,7,0,14218,13575.8017578125
25,1,2005,3,7,1,14379,11393.412109375
26,1,2005,3,7,2,14728,11563.509765625
27,1,2005,3,7,3,15194,12072.310546875
28,1,2005,3,7,4,16441,13042.087890625
29,1,2005,3,7,5,18695,17624.048828125
30,1,2005,3,7,6,22091,22767.263671875
31,1,2005,3,7,7,22433,21612.966796875
32,1,2005,3,7,8,19830,18250.408203125
33,1,2005,3,7,9,17989,16276.8154296875
34,1,2005,3,7,10,15848,15333.41796875
35,1,2005,3,7,11,14328,16305.810546875
36,1,2005,3,7,12,13420,14383.61328125
37,1,2005,3,7,13,12747,15180.01953125
38,1,2005,3,7,14,12262,14013.1796875
39,1,2005,3,7,15,12444,14307.4580078125
40,1,2005,3,7,16,13368,14654.556640625
41,1,2005,3,7,17,14778,15574.16796875
42,1,2005,3,7,18,16684,18027.619140625
43,1,2005,3,7,19,17935,18783.267578125
44,1,2005,3,7,20,17476,18175.56640625
45,1,2005,3,7,21,16448,17698.220703125
46,1,2005,3,7,22,14489,15454.5263671875
47,1,2005,3,7,23,12885,13589.7041015625
48,1,2005,3,8,0,11812,12582.9423828125
49,1,2005,3,8,1,11383,12346.8291015625
50,1,2005,3,8,2,11501,14396.421875
51,1,2005,3,8,3,11367,11044.69140625
52,1,2005,3,8,4,11917,11634.3095703125
53,1,2005,3,8,5,13806,16717.228515625
54,1,2005,3,8,6,17086,17229.39453125
55,1,2005,3,8,7,18645,17722.822265625
56,1,2005,3,8,8,19068,16907.103515625
