,zone,year,month,day,hour,actual,predicted_NN
0,12,2005,3,6,0,140417,151413.46875
1,12,2005,3,6,1,137418,125484.09375
2,12,2005,3,6,2,137204,126914.8125
3,12,2005,3,6,3,138264,129186.8515625
4,12,2005,3,6,4,140202,133574.4375
5,12,2005,3,6,5,144008,126068.5859375
6,12,2005,3,6,6,151202,163124.21875
7,12,2005,3,6,7,158880,164809.34375
8,12,2005,3,6,8,162387,140326.9375
9,12,2005,3,6,9,158535,137387.640625
10,12,2005,3,6,10,150325,128972.6015625
11,12,2005,3,6,11,141126,124034.359375
12,12,2005,3,6,12,131401,114372.671875
13,12,2005,3,6,13,124326,105647.828125
14,12,2005,3,6,14,120811,103504.0234375
15,12,2005,3,6,15,119564,103845.984375
16,12,2005,3,6,16,120525,110976.2109375
17,12,2005,3,6,17,127682,105228.21875
18,12,2005,3,6,18,145115,121612.96875
19,12,2005,3,6,19,152004,139331.0625
20,12,2005,3,6,20,148516,135704.84375
21,12,2005,3,6,21,138547,125625.828125
22,12,2005,3,6,22,126464,116084.796875
23,12,2005,3,6,23,113857,105949.109375
24,12,2005,3,7,0,106344,98172.453125
25,12,2005,3,7,1,104011,97614.1875
26,12,2005,3,7,2,103764,97587.578125
27,12,2005,3,7,3,104967,97491.21875
28,12,2005,3,7,4,108374,98372.234375
29,12,2005,3,7,5,120558,109046.96875
30,12,2005,3,7,6,145018,120237.140625
31,12,2005,3,7,7,142518,117510.2890625
32,12,2005,3,7,8,123540,131296.90625
33,12,2005,3,7,9,111945,103008.015625
34,12,2005,3,7,10,104184,98132.40625
35,12,2005,3,7,11,98315,94680.5546875
36,12,2005,3,7,12,93724,90899.59375
37,12,2005,3,7,13,89142,87340.28125
38,12,2005,3,7,14,87040,84843.703125
39,12,2005,3,7,15,86784,84623.9453125
40,12,2005,3,7,16,92660,102848.515625
41,12,2005,3,7,17,102860,111013.3984375
42,12,2005,3,7,18,123949,120725.34375
43,12,2005,3,7,19,131648,128217.3515625
44,12,2005,3,7,20,127523,132361.421875
45,12,2005,3,7,21,118033,123031.3671875
46,12,2005,3,7,22,105854,111775.8203125
47,12,2005,3,7,23,93221,100092.8125
48,12,2005,3,8,0,84670,82403.25
49,12,2005,3,8,1,80417,77919.765625
50,12,2005,3,8,2,78921,76574.5078125
51,12,2005,3,8,3,79126,77177.0625
52,12,2005,3,8,4,82935,79909.25
53,12,2005,3,8,5,94809,89681.7890625
54,12,2005,3,8,6,119664,104463.9375
55,12,2005,3,8,7,122960,116030.71875
56,12,2005,3,8,8,114913,109937.1640625
57,12,2005,3,8,9,114502,136991.953125
58,12,2005,3,8,10,119192,128934.171875
59,12,2005,3,8,11,125869,139740.84375
60,12,2005,3,8,12,133291,138757.328125
61,12,2005,3,8,13,143617,134333.96875
62,12,2005,3,8,14,152033,130697.4140625
63,12,2005,3,8,15,159682,130342.0
64,12,2005,3,8,16,167664,146146.5
65,12,2005,3,8,17,158469,166077.515625
66,12,2005,3,8,18,203629,184481.59375
67,12,2005,3,8,19,209999,189586.75
68,12,2005,3,8,20,209317,189906.015625
69,12,2005,3,8,21,201057,182858.25
70,12,2005,3,8,22,191107,170759.953125
71,12,2005,3,8,23,179196,158787.375
72,12,2005,3,9,0,171036,151403.625
73,12,2005,3,9,1,169419,148899.890625
74,12,2005,3,9,2,169875,148347.875
75,12,2005,3,9,3,170606,150132.390625
76,12,2005,3,9,4,173740,154098.46875
77,12,2005,3,9,5,185887,166799.5625
78,12,2005,3,9,6,207815,191378.21875
79,12,2005,3,9,7,199324,185984.40625
80,12,2005,3,9,8,183323,170097.984375
81,12,2005,3,9,9,173275,160098.28125
82,12,2005,3,9,10,165699,152119.0
83,12,2005,3,9,11,158729,145236.484375
84,12,2005,3,9,12,152696,138738.671875
85,12,2005,3,9,13,145878,134286.28125
86,12,2005,3,9,14,141476,130642.109375
87,12,2005,3,9,15,140492,130286.5
88,12,2005,3,9,16,145957,138260.0
89,12,2005,3,9,17,159306,154507.203125
90,12,2005,3,9,18,179919,174885.359375
91,12,2005,3,9,19,188747,184560.171875
92,12,2005,3,9,20,190087,183308.75
93,12,2005,3,9,21,180811,176081.59375
94,12,2005,3,9,22,168738,163434.15625
95,12,2005,3,9,23,156158,158798.953125
96,12,2005,3,10,0,150930,151408.90625
97,12,2005,3,10,1,150122,148900.8125
98,12,2005,3,10,2,151926,148343.1875
99,12,2005,3,10,3,154979,150121.71875
100,12,2005,3,10,4,159792,132610.03125
101,12,2005,3,10,5,174812,166774.40625
102,12,2005,3,10,6,199673,191357.609375
103,12,2005,3,10,7,192259,185956.78125
104,12,2005,3,10,8,167694,161049.40625
105,12,2005,3,10,9,153455,149631.6875
106,12,2005,3,10,10,144335,144187.359375
107,12,2005,3,10,11,134885,136278.046875
108,12,2005,3,10,12,129490,130208.703125
109,12,2005,3,10,13,126490,124065.75
110,12,2005,3,10,14,122004,119423.078125
111,12,2005,3,10,15,122262,119030.2734375
112,12,2005,3,10,16,131613,128977.5546875
113,12,2005,3,10,17,145020,140562.21875
114,12,2005,3,10,18,168371,156887.234375
115,12,2005,3,10,19,179364,160255.875
116,12,2005,3,10,20,176792,155860.25
117,12,2005,3,10,21,168619,154101.0
118,12,2005,3,10,22,155002,140978.03125
119,12,2005,3,10,23,141501,129647.0703125
120,12,2005,3,11,0,132134,113683.875
121,12,2005,3,11,1,128568,125374.328125
122,12,2005,3,11,2,127252,125661.3984375
123,12,2005,3,11,3,126659,126168.84375
124,12,2005,3,11,4,129073,129313.7109375
125,12,2005,3,11,5,142156,140095.921875
126,12,2005,3,11,6,168152,162171.9375
127,12,2005,3,11,7,163748,165359.4375
128,12,2005,3,11,8,143632,137204.59375
129,12,2005,3,11,9,128956,138324.71875
130,12,2005,3,11,10,118933,112023.9453125
131,12,2005,3,11,11,111457,110094.0
132,12,2005,3,11,12,104344,97322.140625
133,12,2005,3,11,13,99663,105564.1875
134,12,2005,3,11,14,98076,106339.65625
